time,dlh,xlh,sy
2023-05-02T20:23:29.778Z,0,2.5,0.75
2023-05-03T00:27:29.784Z,0,0,0
2023-05-03T04:31:29.79Z,12.5,0,2.25
2023-05-03T08:35:29.796Z,3,0,4
2023-05-03T12:39:29.802Z,0,0,0
2023-05-03T16:43:29.808Z,0,0,0
2023-05-03T20:47:29.814Z,0,0,0.5
2023-05-04T00:51:29.82Z,0,0,0
2023-05-04T04:55:29.826Z,5,6,3.75
2023-05-04T08:59:29.832Z,8,0,2.5
2023-05-04T13:03:29.838Z,0,0,0
2023-05-04T17:07:29.844Z,0,0,1
2023-05-04T21:11:29.85Z,0,0,0
2023-05-05T01:15:29.856Z,5.25,7.25,3.25
2023-05-05T05:19:29.862Z,0,0,0
2023-05-05T09:23:29.868Z,26,0,0.25
2023-05-05T13:27:29.874Z,0,0,0
2023-05-05T17:31:29.88Z,0,3.5,1
2023-05-05T21:35:29.886Z,0,0,0
2023-05-06T01:39:29.892Z,3,0,0
2023-05-06T05:43:29.898Z,0,0,0
2023-05-06T09:47:29.904Z,5.25,0,2.25
2023-05-06T13:51:29.91Z,0,0,0
2023-05-06T17:55:29.916Z,0,5.25,1
2023-05-06T21:59:29.922Z,0,0,0
2023-05-07T02:03:29.928Z,2.2,0,0.8
2023-05-07T06:07:29.934Z,0,0,0
2023-05-07T10:11:29.94Z,5,0,0
2023-05-07T14:15:29.946Z,0,0,0
2023-05-07T18:19:29.952Z,0,0,0.75
2023-05-07T22:23:29.958Z,0,0,0
2023-05-08T02:27:29.964Z,5.25,11,0
2023-05-08T06:31:29.97Z,0,0,0
2023-05-08T10:35:29.976Z,3,0,0
2023-05-08T14:39:29.982Z,0,0,0
2023-05-08T18:43:29.988Z,0,0,1.25
2023-05-08T22:47:29.994Z,0,0,0
2023-05-09T02:51:30Z,2.75,15.5,1.25
2023-05-09T06:55:30.006Z,0,0,0
2023-05-09T10:59:30.012Z,13,0,0
2023-05-09T15:03:30.018Z,0,0,0
2023-05-09T19:07:30.024Z,0,0,1
2023-05-09T23:11:30.03Z,0,0,0
2023-05-10T03:15:30.036Z,5.25,7.25,0
2023-05-10T07:19:30.042Z,15.5,0,2
2023-05-10T11:23:30.048Z,0,0,0
2023-05-10T15:27:30.054Z,0,0,0
2023-05-10T19:31:30.06Z,0,0,0.75
2023-05-10T23:35:30.066Z,0,0,0
2023-05-11T03:39:30.072Z,8,19,0
2023-05-11T07:43:30.078Z,5.25,0,0
2023-05-11T11:47:30.084Z,0,0,0
